wals_code,iso_code,glottocode,Name,latitude,longitude,1A Consonant Inventories,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,60A Genitives_ Adjectives and Relative Clauses,61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,81A Order of Subject_ Object and Verb,82A Order of Subject and Verb,83A Order of Object and Verb,84A Order of Object_ Oblique_ and Verb,85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,144A Position of Negative Word With Respect to Subject_ Object_ and Verb,90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,81B Languages with two Dominant Orders of Subject_ Object_ and Verb,143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives
bej,bej,beja1238,Beja,18,36,3 Average,2 Average (5-6),3 Average,2 In plosives alone,3 Missing /p/,1 None,1 No glottalized consonants,2 /l/_ no obstruent laterals,3 No velar nasal,,1 None,3 Complex,2 Simple tone system,1 No fixed stress,4 Right-oriented: One of the last three,1 No weight,,1 All present,1 None,6 Ablaut/concatenative,1 Monoexponential case,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,3 Weakly suffixing,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Two,2 Sex-based,3 Semantic and formal,2 Plural suffix,,4 Person-number stem,,3 Definite affix,,3 No inclusive/exclusive,3 No inclusive/exclusive,,,,1 In 3rd person + 1st and/or 2nd person,,,,2 No person marking,2 2 cases,6 Syncretism in relevant NP-types,1 Case suffixes,,,,,,2 Possessive suffixes,2 Absent,1 No possessive classification,,,,1 'And' different from 'with',,1 Grammatical marking,1 Present_ no remoteness distinctions,2 No inflectional future,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,2 Normal imperative + special negative,,,2 Verbal constructions,3 Other,,2 Indirect only,4 Separate particle,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,3 No dominant order,5 Demonstrative before and after Noun,,1 Noun-Relative clause,,6 No question particle,2 Not initial interrogative phrase,4 Subordinating suffix,1 OV and Postpositions,2 OV and NRel,5 Other,,,2 Accusative,2 Subject affixes on verb,5 Both the A and P arguments,2 No zero realization,2 A precedes P,,,1 Present,3 No antipassive,,,2 Morphological but no compound,1 Negative affix,3 Both,5 A/Fin and A/Cat,,2 Interrogative verb morphology,2 Genitive,3 Mixed,2 Identical,1 Impossible,,,,,,,,,,,,,,,,1 No M-T pronouns,1 No N-M pronouns,,,,,1 Logical meanings,4 None,,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,,,11 NoSOVNeg,,20 MorphNeg,,,,,2 Prefix&NoDoubleNeg,,,,,,,,,,,,2 [Neg-V],,,3 [Neg-V],,,4 No SNegOV,5 SO[Neg-V],,,,4 None,,,1 No m in second person singular,1 No m in first person singular,,,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,
awn,awn,awng1244,Awngi,10.83333333,36.66666667,4 Moderately large,3 Large (7-14),3 Average,4 In both plosives and fricatives,2 None missing in /p t k b d g/,2 Uvular stops only,1 No glottalized consonants,2 /l/_ no obstruent laterals,2 No initial velar nasal,,1 None,2 Moderately complex,2 Simple tone system,,,,,1 All present,1 None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 No grammatical marking,1 Present_ no remoteness distinctions,1 Inflectional future exists,3 Other perfect,,,,1 Maximal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Purposive but no sequential,2 Morphological but no compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qaf,aar,afar1241,Qafar,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Two,2 Sex-based,3 Semantic and formal,,6 All nouns_ always obligatory,,,5 No definite or indefinite article,5 No definite or indefinite article,,,,,,,,,,,,,,,,,,,4 No possessive affixes,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,,,,,1 OV and Postpositions,1 OV and RelN,1 OV and AdjN,,,,,,,,1 Indirect-object construction,,,3 No antipassive,1 Benefactive object; both bases,,,,,,,,,,,,,,,2 Subject is expressed overtly,,,,,,,,,,,,,,1 Words derived from Sinitic cha,,,,,,1 Relative clause-Noun (RelN) dominant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 No other roles (= Only benefactive),,,,4 no antipassive,,,
sid,sid,sida1246,Sidaama,6.666666667,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,,5 No definite or indefinite article,5 No definite or indefinite article,,,,,,,,,,,,,5 Mixed morphological case,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,,6 No question particle,2 Not initial interrogative phrase,,1 OV and Postpositions,1 OV and RelN,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,2 Negative particle,,,,6 Interrogative intonation only,,,,,,,,,,,,,,,,,,,,,,,,,,,4 None,1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,,,,,,,,,,
som,som,soma1255,Somali,3,45,3 Average,3 Large (7-14),2 Moderately low,2 In plosives alone,3 Missing /p/,2 Uvular stops only,1 No glottalized consonants,2 /l/_ no obstruent laterals,3 No velar nasal,,1 None,2 Moderately complex,2 Simple tone system,,,,,1 All present,4 Pharyngeals,,,,,,,2 Strongly suffixing,1 Productive full and partial reduplication,,,,,,2 Plural suffix,6 All nouns_ always obligatory,,,3 Definite affix,4 No indefinite_ but definite article,,,4 Four-way contrast,3 Different inflection,,,1 No politeness distinction,2 Generic-noun-based,2 Differentiated,,3 3 cases,2 Symmetrical,9 No case affixes or adpositional clitics,2 Differentiation,4 One-th_ two-th_ three-th,,,,2 Possessive suffixes,,,,,,1 'And' different from 'with',2 Differentiation,2 No grammatical marking,1 Present_ no remoteness distinctions,1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,,,,2 Inflectional optative absent,2 Verbal constructions,2 Affixes on verbs,3 No overlap,,,,,1 SOV,1 SV,1 OV,,4 No dominant order,3 No dominant order,2 Noun-Adjective,4 Demonstrative suffix,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,4 Other position,2 Not initial interrogative phrase,1 Initial subordinator word,5 Other,2 OV and NRel,2 OV and NAdj,,,,4 Subject pronouns in different position,,,,3 Secondary-object construction,,,,,,,2 Negative particle,2 Asymmetric,5 A/Fin and A/Cat,1 Predicate negation also present,1 Question particle,4 Conjunctional,3 Mixed,1 Different,2 Possible,,,,2 Subject is expressed overtly,1 Balanced,1 Balanced,1 Balanced,,,,,,,,,,,1 Words derived from Sinitic cha,,,,1 Logical meanings,4 None,,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,,,,,,,,,,
tgr,tig,tigr1270,Tigrí©,16.5,38.5,4 Moderately large,2 Average (5-6),4 Moderately high,4 In both plosives and fricatives,3 Missing /p/,1 None,2 Ejectives only,2 /l/_ no obstruent laterals,,,1 None,2 Moderately complex,1 No tones,,,,,1 All present,4 Pharyngeals,,,,,,,3 Weakly suffixing,1 Productive full and partial reduplication,,,2 Two,2 Sex-based,3 Semantic and formal,6 Mixed morphological plural,,,,1 Definite word distinct from demonstrative,2 Indefinite word same as 'one',,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,2 Possessive suffixes,,,,,,1 'And' different from 'with',,2 No grammatical marking,1 Present_ no remoteness distinctions,2 No inflectional future,3 Other perfect,,1 Second singular and second plural,3 Special imperative + normal negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,3 Other,3 No overlap,,,,,1 SOV,1 SV,1 OV,,2 Prepositions,2 Noun-Genitive,1 Adjective-Noun,6 Mixed,1 Numeral-Noun,2 Relative clause-Noun,,,2 Not initial interrogative phrase,5 Mixed,2 OV and Prepositions,1 OV and RelN,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,1 Negative affix,,,,,,2 Nonverbal encoding,2 Identical,1 Impossible,,,,,,,,,,,,,,,,,,,,,,,4 None,1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,11 NoSOVNeg,,20 MorphNeg,,,,,2 Prefix&NoDoubleNeg,,,,,,,,,,,,2 [Neg-V],,,3 [Neg-V],,,4 No SNegOV,5 SO[Neg-V],,,,4 None,,,,,,,,,,,,
tbe,tig,tigr1270,Tigrí© (Beni Amer),15.5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Identical,2 Different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig,tir,tigr1271,Tigrinya,14.5,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Productive full and partial reduplication,,,,,,2 Plural suffix,6 All nouns_ always obligatory,,,2 Demonstrative word used as definite article,2 Indefinite word same as 'one',,,,,,,,,,,,,7 Prepositional clitics,,,,,,2 Possessive suffixes,,,,,,,2 Differentiation,2 No grammatical marking,1 Present_ no remoteness distinctions,1 Inflectional future exists,4 No perfect,,,,,,,,,,,,,1 SOV,1 SV,1 OV,,2 Prepositions,3 No dominant order,1 Adjective-Noun,1 Demonstrative-Noun,,,,,1 Initial interrogative phrase,,2 OV and Prepositions,,1 OV and AdjN,,,,,,,,1 Indirect-object construction,,,,,,,6 Double negation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 [V-Neg],,,,4 No NegSOV,,6 SO[Neg-V-Neg],6 Suffix&OnlyWithAnotherNeg,,18 ObligDoubleNeg,,,,,6 Prefix&OnlyWithAnotherNeg,4 [Neg-V-Neg],,,,,,,,,,,2 [Neg-V],,,14 ObligDoubleNeg,,,4 No SNegOV,16 ObligDoubleNeg,,,,4 None,,,,,,,,,,,,
amh,amh,amha1245,Amharic,10,38,4 Moderately large,3 Large (7-14),4 Moderately high,2 In plosives alone,2 None missing in /p t k b d g/,1 None,2 Ejectives only,2 /l/_ no obstruent laterals,3 No velar nasal,,1 None,2 Moderately complex,1 No tones,,,,,1 All present,1 None,,,,,,,3 Weakly suffixing,1 Productive full and partial reduplication,,,2 Two,2 Sex-based,3 Semantic and formal,2 Plural suffix,,4 Person-number stem,2 Unique affixal associative plural,1 Definite word distinct from demonstrative,2 Indefinite word same as 'one',,,,,,1 In 3rd person + 1st and/or 2nd person,,,1 Identical,3 Pronouns only,2 2 cases,2 Symmetrical,1 Case suffixes,,,2 Marked by reduplication,1 Absent,,2 Possessive suffixes,2 Absent,1 No possessive classification,,,2 Possessive-Accusative,1 'And' different from 'with',,2 No grammatical marking,1 Present_ no remoteness distinctions,2 No inflectional future,3 Other perfect,4 Mixed type,1 Second singular and second plural,4 Special imperative + special negative,4 Neither type of system,,2 Verbal constructions,1 Verbal constructions,3 No overlap,,,,,1 SOV,1 SV,1 OV,,4 No dominant order,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,,,2 Not initial interrogative phrase,2 Final subordinator word,5 Other,1 OV and RelN,1 OV and AdjN,,,2 Accusative,2 Subject affixes on verb,5 Both the A and P arguments,2 No zero realization,2 A precedes P,2 Double-object construction,,1 Present,,,,2 Morphological but no compound,6 Double negation,,,,3 Mixture of previous two types,1 Locational,2 Nonverbal encoding,2 Identical,1 Impossible,1 Locational,,,,,,,,1 Identical,2 Different,1 Decimal,,,,,1 No M-T pronouns,1 No N-M pronouns,1 Words derived from Sinitic cha,,,,,2 [V-Neg],1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,6 SO[Neg-V-Neg],6 Suffix&OnlyWithAnotherNeg,,18 ObligDoubleNeg,,,,,6 Prefix&OnlyWithAnotherNeg,4 [Neg-V-Neg],,,,,,,,,,,2 [Neg-V],,,14 ObligDoubleNeg,,,4 No SNegOV,16 ObligDoubleNeg,,,,4 None,,,1 No m in second person singular,1 No m in first person singular,,,,,,,1 None reported,
gam,gmo,gamo1244,Gamo,6.666666667,37.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Plural suffix,,,,3 Definite affix,,,,,,,,,2 Generic-noun-based,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,,1 Maximal system,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,,,,,1 OV and Postpositions,1 OV and RelN,1 OV and AdjN,,,,,,,,1 Indirect-object construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Relative clause-Noun (RelN) dominant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
