wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,1A Consonant Inventories,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,60A Genitives_ Adjectives and Relative Clauses,61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,81A Order of Subject_ Object and Verb,82A Order of Subject and Verb,83A Order of Object and Verb,84A Order of Object_ Oblique_ and Verb,85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,144A Position of Negative Word With Respect to Subject_ Object_ and Verb,90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,81B Languages with two Dominant Orders of Subject_ Object_ and Verb,143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives
aga,agd,agar1252,Agarabi,-6.166666667,146,Eastern Highlands,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,3 Weakly suffixing,,,,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,1 Possessive prefixes,,,,,,,2 Differentiation,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,2 Normal imperative + special negative,,,,,,,,,,1 SOV,1 SV,1 OV,,,1 Genitive-Noun,1 Adjective-Noun,,1 Numeral-Noun,,,6 No question particle,,,,,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,,,,,2 Interrogative verb morphology,,,,,,,,4 Desiderative verbal affix,,,,,,,,5 5,2 4.5-5.5,2 Green/blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahu,ahh,aghu1255,Aghu,-6.166666667,140.1666667,Awju-Dumut,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 'And' different from 'with',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Topic,2 Nonverbal encoding,2 Identical,2 Possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ame,aey,amel1241,Amele,-5.25,145.5833333,Madang,Trans-New Guinea,2 Moderately small,2 Average (5-6),3 Average,2 In plosives alone,3 Missing /p/,1 None,1 No glottalized consonants,2 /l/_ no obstruent laterals,3 No velar nasal,2 Contrast absent,1 None,2 Moderately complex,1 No tones,1 No fixed stress,5 Unbounded: Stress can be anywhere,3 Coda consonant,5 No rhythmic stress,1 All present,3 Labial-velars,1 Exclusively concatenative,5 No case,4 6-7 categories per word,1 Head marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,1 None,1 No gender,1 No gender,6 Mixed morphological plural,3 Only human nouns_ obligatory,5 Person-number stem + pronominal plural affix,4 No associative plural,4 No definite_ but indefinite article,1 Indefinite word distinct from 'one',3 No inclusive/exclusive,3 No inclusive/exclusive,3 Three-way contrast,1 Identical,1 Unrelated,6 No gender distinctions,1 No politeness distinction,2 Generic-noun-based,1 Identical,2 No person marking,1 No morphological case-marking,1 No case-marking,9 No case affixes or adpositional clitics,2 Differentiation,5 First/one-th_ two-th_ three-th,1 No distributive numerals,1 Absent,2 Formally similar_ without interrogative,2 Possessive suffixes,2 Absent,4 More than five classes,4 Adjectives and relative clauses collapsed,2 Without marking,2 Possessive-Accusative,2 'And' identical to 'with',2 Differentiation,2 No grammatical marking,2 Present_ 2-3 remoteness distinctions,1 Inflectional future exists,2 From 'finish'_ 'already',2 Tense-aspect suffixes,5 No second-person imperatives,4 Special imperative + special negative,1 Maximal system,2 Inflectional optative absent,3 Other kinds of markers,3 Other,3 No overlap,1 No grammatical evidentials,1 No grammatical evidentials,4 None,2 Singular-plural pairs_ no suppletion,1 SOV,1 SV,1 OV,3 XOV,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,1 Noun-Relative clause,2 Adjective-Degree word,2 Final,2 Not initial interrogative phrase,2 Final subordinator word,1 OV and Postpositions,2 OV and NRel,2 OV and NAdj,1 Neutral,1 Neutral,2 Accusative,,5 Both the A and P arguments,2 No zero realization,3 P precedes A,1 Indirect-object construction,1 No reciprocals,2 Absent,3 No antipassive,1 Benefactive object; both bases,1 Sequential but no purposive,2 Morphological but no compound,2 Negative particle,3 Both,3 A/Cat,,1 Question particle,4 Conjunctional,2 Nonverbal encoding,1 Different,2 Possible,2 Exceed,2 Non-reduction,2 Non-reduction,2 Subject is expressed overtly,2 Balanced/deranked,3 Deranked,1 Balanced,1 Balanced,,,,,,,,1 No M-T pronouns,1 No N-M pronouns,,,,,2 Affective meanings,2 [V-Neg],,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,,,4 Suffix&OptDoubleNeg,,19 OptDoubleNeg,,,,,3 Word&OptDoubleNeg,,,,,,,,,,,,1 NegV,18 NegV/[V-Neg]/Neg[V-Neg],,15 OptDoubleNeg,,14 S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)],2 OptDoubleNeg,17 OptDoubleNeg,,,,4 None,,,1 No m in second person singular,1 No m in first person singular,4 No other roles (= Only benefactive),,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
amx,imi,anam1248,Anamuxra,-4.666666667,145,Madang,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,3 Weakly suffixing,,,,,,,2 Plural suffix,,,,,,,,,,,,,,,,,,,,,,,,1 Possessive prefixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,,1 SV,1 OV,,,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,,,,,,,,2 OV and NAdj,,,,2 Subject affixes on verb,,,,,,,,,,,6 Double negation,,,,1 Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,2 [V-Neg],,,,,,17 SV & OV & Neg[V-Neg],,,18 ObligDoubleNeg,,,,,,2 Neg[V-Neg],,,,,,,,,,,1 NegV,,,14 ObligDoubleNeg,,,,16 ObligDoubleNeg,,,,4 None,,,,,,,,,,,,
ant,agm,anga1290,Angaatiha,-7.216666667,146.25,Angan,Trans-New Guinea,1 Small,2 Average (5-6),1 Low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,3 Laterals_ but no /l/_ no obstruent laterals,,,1 None,2 Moderately complex,2 Simple tone system,,,,,3 No fricatives,1 None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 5,4 7-7.5,1 Green vs. blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ape,apz,safe1240,Ampeeli,-6.75,146.0833333,Angan,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 5,2 4.5-5.5,2 Green/blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asm,tml,tamn1235,Asmat,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,1 Small,2 Average (5-6),1 Low,1 No voicing contrast,1 Other,1 None,1 No glottalized consonants,1 No laterals,3 No velar nasal,2 Contrast absent,1 None,2 Moderately complex,1 No tones,7 Ultimate,8 Fixed stress (no weight-sensitivity),6 Lexical stress,2 Iambic,1 All present,1 None,1 Exclusively concatenative,5 No case,3 4-5 categories per word,1 Head marking,4 No marking,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,1 None,1 No gender,1 No gender,2 Plural suffix,,7 Person stem + pronominal plural affix,3 Unique periphrastic associative plural,2 Demonstrative word used as definite article,,3 No inclusive/exclusive,3 No inclusive/exclusive,4 Four-way contrast,,4 Related to non-remote demonstratives,6 No gender distinctions,1 No politeness distinction,,1 Identical,2 No person marking,1 No morphological case-marking,1 No case-marking,9 No case affixes or adpositional clitics,,,,,,4 No possessive affixes,1 Exists,2 Two classes,,,,1 'And' different from 'with',,2 No grammatical marking,2 Present_ 2-3 remoteness distinctions,1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,4 Second person number-neutral,,4 Neither type of system,2 Inflectional optative absent,1 Affixes on verbs,2 Affixes on verbs,3 No overlap,2 Indirect only,2 Verbal affix or clitic,4 None,1 None,1 SOV,1 SV,1 OV,,5 No adpositions,1 Genitive-Noun,2 Noun-Adjective,1 Demonstrative-Noun,2 Noun-Numeral,2 Relative clause-Noun,2 Adjective-Degree word,2 Final,2 Not initial interrogative phrase,2 Final subordinator word,,1 OV and RelN,2 OV and NAdj,1 Neutral,,2 Accusative,2 Subject affixes on verb,5 Both the A and P arguments,4 Zero in all 3sg forms,3 P precedes A,,2 Distinct from reflexive,2 Absent,3 No antipassive,2 Benefactive object; only transitive,,2 Morphological but no compound,2 Negative particle,3 Both,2 A/NonReal,,1 Question particle,3 Topic,2 Nonverbal encoding,2 Identical,2 Possible,,,,,,,,,,,,,,,,1 No M-T pronouns,3 N-M pronouns_ non-paradigmatic,,,,,,1 VNeg,1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,1 Word&NoDoubleNeg,,8 SOVNeg,,,,,8 No SONegV,,,,,,4 Immed postverbal,,,,,,4 None,,,2 VNeg,,,4 No SNegOV,4 SOVNeg,,,,4 None,,,2 m in second person singular,1 No m in first person singular,4 No other roles (= Only benefactive),,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
auy,auy,awiy1238,Auyana,-6.5,145.75,Eastern Highlands,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awa,awb,awap1236,Awa,-6.666666667,145.75,Eastern Highlands,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,1 Possessive prefixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,1 SOV,1 SV,1 OV,,,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,2 Relative clause-Noun,1 Degree word-Adjective,,,,,1 OV and RelN,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,2 Negative particle,,,,,,,,,,,,,,,,,1 Identical,2 Different,,,,,,,,,,,,,4 None,1 Relative clause-Noun (RelN) dominant,,,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,,,,,,,,,,
baa,bbb,bara1377,Barai,-9.333333333,148.0833333,Koiarian,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,,,,,,,,,6 No gender distinctions,,,,2 No person marking,,,1 Case suffixes,,,,,,,2 Absent,1 No possessive classification,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,1 No grammatical evidentials,1 No grammatical evidentials,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,1 Noun-Relative clause,,,,4 Subordinating suffix,1 OV and Postpositions,2 OV and NRel,2 OV and NAdj,,,2 Accusative,,5 Both the A and P arguments,2 No zero realization,3 P precedes A,,,2 Absent,,,,,2 Negative particle,,,,1 Question particle,,2 Nonverbal encoding,1 Different,2 Possible,,,,,,,,,,,,,,,,,,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,,,,,,,,,1 None reported,
bau,bbd,bauu1244,Bau,-5.25,145.6166667,Madang,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Possessive suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb,bef,bena1264,Benabena,-6.166666667,145.5,Eastern Highlands,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No grammatical evidentials,1 No grammatical evidentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bin,bhg,bina1277,Binandere,-8.25,148,Binanderean,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Mixed morphological plural,,,,2 Demonstrative word used as definite article,2 Indefinite word same as 'one',,,,,,,,,,,,,6 Postpositional clitics,,,,,,4 No possessive affixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,1 SOV,1 SV,1 OV,,1 Postpositions,1 Genitive-Noun,2 Noun-Adjective,2 Noun-Demonstrative,2 Noun-Numeral,,,,,,1 OV and Postpositions,,2 OV and NAdj,,,,2 Subject affixes on verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
